Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LRD_M_R,Wetland,145,0,6,6,198,8,0,152,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LRD_M_R,Lichens_and_Mosses,2,0,0,1,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LRD_M_R,Permanent_ice_and_snow,21,0,0,0,16,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LRD_M_R,Non_Wetland,3,0,0,0,0,2,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LRD_M_R,Grassland,0,0,96,30,92,140,0,234,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LRD_M_R,Forest,780,2,207,58,186,0,0,804,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LRD_M_R,Bareland,210,0,0,37,18,45,0,62,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LRD_M_R,Built-up,223,0,143,0,6,9,0,79,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LRD_M_R,Water,476,0,208,27,0,169,0,450,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LRD_M_R,Non_Water,0,0,0,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LRD_M_R,Shrubland,122,1,51,15,34,43,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LRD_M_R,Cropland,566,0,199,84,50,261,0,369,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LRD_M_R,Wetland,143,0,11,4,92,33,0,103,0,0,0,0
