Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LCL_M_R
6145,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
6146,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
6147,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
6148,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Grassland
6149,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Cropland
6150,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Bareland
6151,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Built-up
6152,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland,Grassland,Grassland
6153,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland,Grassland,Cropland
6154,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland,Grassland,Built-up
6155,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland,Forest,Grassland
6156,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland,Forest,Cropland
6157,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,NULL
6158,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
6159,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Cropland
6160,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
6161,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
6162,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
6163,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Grassland
6164,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Built-up
6165,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Forest
6166,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
6167,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Cropland
6168,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
6169,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
6170,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
6171,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Cropland
6172,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
6173,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
6174,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Forest,Bareland
6175,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
6176,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
6177,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Forest
6178,Cropland,Cropland,Water,NULL,Water,NULL,Water,Bareland
6179,Cropland,Cropland,Water,NULL,Water,Grassland,NULL,Grassland
6180,Cropland,Cropland,Water,NULL,Water,Grassland,NULL,Cropland
6181,Cropland,Cropland,Water,NULL,Water,Grassland,Grassland,Grassland
6182,Cropland,Cropland,Water,NULL,Water,Cropland,NULL,Grassland
6183,Cropland,Cropland,Water,NULL,Water,Cropland,NULL,Cropland
6184,Cropland,Cropland,Water,NULL,Water,Cropland,NULL,Bareland
6185,Cropland,Cropland,Water,NULL,Water,Cropland,Grassland,Grassland
6186,Cropland,Cropland,Water,NULL,Water,Bareland,NULL,Grassland
6187,Cropland,Cropland,Water,NULL,Water,Bareland,NULL,Cropland
6188,Cropland,Cropland,Water,NULL,Water,Bareland,NULL,Bareland
6189,Cropland,Cropland,Water,NULL,Water,Bareland,Grassland,Grassland
6190,Cropland,Cropland,Water,NULL,Water,Water,NULL,Grassland
6191,Cropland,Cropland,Water,NULL,Water,Water,Wetland,Grassland
6192,Cropland,Cropland,Water,Non_Water,Water,Bareland,NULL,Forest
6193,Cropland,Cropland,Water,Water,Water,NULL,Water,Bareland
6194,Cropland,Cropland,Water,Water,Water,Bareland,Wetland,Water
6195,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
6196,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
6197,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
6198,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
6199,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
6200,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
6201,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
6202,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Cropland
6203,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Bareland
6204,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
6205,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
6206,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
6207,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Cropland
6208,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
6209,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
6210,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
6211,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
6212,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Cropland
6213,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Forest
6214,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
6215,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
6216,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
6217,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
6218,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
6219,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
6220,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
6221,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
6222,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
6223,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Wetland,NULL
6224,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
6225,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
6226,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
6227,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
6228,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
6229,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
6230,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
6231,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Bareland
6232,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
6233,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
6234,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
6235,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,Cropland
6236,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
6237,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
6238,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
6239,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
6240,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
6241,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
6242,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
6243,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Cropland
6244,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
6245,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
6246,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
6247,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Cropland
6248,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Bareland
6249,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Built-up
6250,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
6251,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,NULL
6252,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
6253,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Cropland
6254,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Bareland
6255,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
6256,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Shrubland,NULL
6257,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Shrubland,Grassland
6258,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Shrubland,Cropland
6259,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Shrubland,Forest
6260,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,NULL
6261,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
6262,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Cropland
6263,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Bareland
6264,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
6265,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Wetland,Grassland
6266,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Wetland,Cropland
6267,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Wetland,Forest
6268,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Forest,NULL
6269,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Forest,Grassland
6270,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Forest,Cropland
6271,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
6272,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
6273,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland,NULL,Cropland
6274,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
6275,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
6276,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
6277,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
6278,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
6279,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
