Dataset,MajorityClass,Cropland,Forest,Built-up,Bareland,Wetland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KYR_M_R,Forest,668,0,184,104,138,109,256,536,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KYR_M_R,Cropland,0,584,299,87,54,84,123,538,0,0,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KYR_M_R,Wetland,146,364,28,47,0,58,26,189,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KYR_M_R,Water,609,703,113,197,308,0,61,231,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KYR_M_R,Built-up,250,101,0,8,4,17,20,114,0,0,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KYR_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KYR_M_R,Grassland,1129,142,180,0,2,55,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KYR_M_R,Bareland,207,1,117,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KYR_M_R,Forest,1249,0,377,0,59,352,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KYR_M_R,Wetland,772,98,41,0,0,173,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KYR_M_R,Built-up,141,5,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KYR_M_R,Water,1379,104,151,2,51,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KYR_M_R,Shrubland,14,2,0,0,0,0,0,0,0,0,0,0
