Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGE_M_R,Wetland,0,226,0,63,84,0,126,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGE_M_R,Water,0,604,22,144,92,35,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGE_M_R,Cropland,0,0,2,331,157,0,36,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGE_M_R,Permanent_ice_and_snow,0,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGE_M_R,Forest,161,208,65,0,0,19,148,0,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGE_M_R,Shrubland,24,51,16,0,160,0,35,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGE_M_R,Cropland,249,0,178,0,362,15,132,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGE_M_R,Wetland,76,36,19,0,290,0,184,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGE_M_R,Bareland,10,34,0,0,44,0,34,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGE_M_R,Built-up,79,245,158,0,310,0,94,0,0,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGE_M_R,Water,35,56,84,0,635,37,0,0,0,0,24
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGE_M_R,Grassland,0,102,71,0,180,7,81,0,0,0,0
