Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20PNR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PNR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PNR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PNR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PNR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20PNR_M_R
590,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland
591,Grassland,Built-up,Grassland,NULL,Non_Wetland,Wetland
592,Grassland,Built-up,Grassland,NULL,Non_Wetland,Built-up
593,Grassland,Built-up,Grassland,NULL,Non_Wetland,Forest
594,Grassland,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
595,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
596,Grassland,Built-up,Cropland,NULL,Non_Wetland,Wetland
597,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up
598,Grassland,Built-up,Cropland,NULL,Non_Wetland,Forest
599,Grassland,Built-up,Cropland,Non_Water,Non_Wetland,Wetland
600,Grassland,Built-up,Wetland,NULL,Wetland,Grassland
601,Grassland,Built-up,Wetland,NULL,Wetland,Wetland
602,Grassland,Built-up,Wetland,NULL,Wetland,Built-up
603,Grassland,Built-up,Wetland,NULL,Wetland,Forest
604,Grassland,Built-up,Wetland,Non_Water,Wetland,Grassland
605,Grassland,Built-up,Wetland,Non_Water,Wetland,Wetland
606,Grassland,Built-up,Wetland,Non_Water,Wetland,Forest
607,Grassland,Built-up,Bareland,NULL,Non_Wetland,Grassland
608,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland
609,Grassland,Built-up,Built-up,NULL,Non_Wetland,Wetland
610,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up
611,Grassland,Built-up,Built-up,NULL,Non_Wetland,Forest
612,Grassland,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
613,Grassland,Built-up,Water,Non_Water,Water,Grassland
614,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
615,Grassland,Built-up,Forest,NULL,Non_Wetland,Wetland
