Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MPN_M_R
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
