Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MKR_M_R
6029,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
6030,Water,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
6031,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
6032,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
6033,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
6034,Water,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
6035,Water,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
6036,Water,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Water
6037,Water,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
6038,Water,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Forest
6039,Water,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
6040,Water,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
6041,Water,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
6042,Water,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
6043,Water,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
6044,Water,NULL,Forest,NULL,Non_Wetland,Water,Forest,Wetland
6045,Water,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
6046,Water,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
6047,Water,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
6048,Water,NULL,Forest,Water,Non_Wetland,Water,Grassland,Grassland
6049,Water,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
6050,Water,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
6051,Water,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
6052,Water,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
6053,Water,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
6054,Water,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
6055,Water,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
6056,Water,Cropland,NULL,NULL,Non_Wetland,Water,NULL,Grassland
6057,Water,Cropland,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
6058,Water,Cropland,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
6059,Water,Cropland,NULL,Water,Non_Wetland,Bareland,NULL,Bareland
6060,Water,Cropland,NULL,Water,Non_Wetland,Bareland,Grassland,Forest
6061,Water,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
6062,Water,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
6063,Water,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
6064,Water,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
6065,Water,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
6066,Water,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
6067,Water,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
6068,Water,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
6069,Water,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
6070,Water,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
6071,Water,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
6072,Water,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
6073,Water,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
6074,Water,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
6075,Water,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
6076,Water,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
6077,Water,Cropland,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
6078,Water,Cropland,Shrubland,NULL,Non_Wetland,Water,NULL,Water
6079,Water,Cropland,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
6080,Water,Cropland,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
6081,Water,Cropland,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
6082,Water,Cropland,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
6083,Water,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
6084,Water,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
6085,Water,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Bareland
6086,Water,Cropland,Shrubland,Water,Non_Wetland,Cropland,NULL,Grassland
6087,Water,Cropland,Shrubland,Water,Non_Wetland,Bareland,NULL,Grassland
6088,Water,Cropland,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
6089,Water,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
6090,Water,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
6091,Water,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
6092,Water,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
6093,Water,Cropland,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
6094,Water,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
6095,Water,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
6096,Water,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
6097,Water,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Bareland
6098,Water,Cropland,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
6099,Water,Cropland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
6100,Water,Cropland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
6101,Water,Cropland,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
6102,Water,Cropland,Grassland,NULL,Non_Wetland,Bareland,NULL,Cropland
6103,Water,Cropland,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
6104,Water,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
6105,Water,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
6106,Water,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
6107,Water,Cropland,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
6108,Water,Cropland,Grassland,NULL,Non_Wetland,Water,Grassland,Bareland
6109,Water,Cropland,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
6110,Water,Cropland,Grassland,NULL,Non_Wetland,Water,Forest,Forest
6111,Water,Cropland,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
6112,Water,Cropland,Grassland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
6113,Water,Cropland,Grassland,Non_Water,Non_Wetland,Bareland,NULL,Bareland
6114,Water,Cropland,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
6115,Water,Cropland,Grassland,Non_Water,Non_Wetland,Water,Grassland,Bareland
6116,Water,Cropland,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
6117,Water,Cropland,Wetland,NULL,Wetland,Grassland,NULL,Grassland
6118,Water,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
6119,Water,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Forest
6120,Water,Cropland,Wetland,NULL,Wetland,Grassland,Water,Grassland
6121,Water,Cropland,Wetland,NULL,Wetland,Cropland,Grassland,Forest
6122,Water,Cropland,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
6123,Water,Cropland,Wetland,NULL,Wetland,Wetland,Grassland,Forest
6124,Water,Cropland,Wetland,NULL,Wetland,Bareland,NULL,Grassland
6125,Water,Cropland,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
6126,Water,Cropland,Wetland,NULL,Wetland,Bareland,Grassland,Forest
6127,Water,Cropland,Wetland,NULL,Wetland,Bareland,Water,Grassland
6128,Water,Cropland,Wetland,NULL,Wetland,Water,Grassland,Grassland
6129,Water,Cropland,Wetland,NULL,Wetland,Water,Grassland,Water
6130,Water,Cropland,Wetland,NULL,Wetland,Water,Grassland,Forest
6131,Water,Cropland,Wetland,NULL,Wetland,Water,Wetland,Grassland
6132,Water,Cropland,Wetland,NULL,Wetland,Water,Water,Grassland
6133,Water,Cropland,Wetland,NULL,Wetland,Water,Water,Bareland
6134,Water,Cropland,Wetland,NULL,Wetland,Water,Water,Forest
6135,Water,Cropland,Wetland,NULL,Wetland,Water,Forest,Forest
6136,Water,Cropland,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
6137,Water,Cropland,Wetland,Non_Water,Wetland,Bareland,Grassland,Grassland
6138,Water,Cropland,Wetland,Non_Water,Wetland,Water,Grassland,Water
6139,Water,Cropland,Wetland,Non_Water,Wetland,Water,Grassland,Forest
6140,Water,Cropland,Wetland,Water,Wetland,Grassland,Grassland,Grassland
6141,Water,Cropland,Wetland,Water,Wetland,Grassland,Grassland,Forest
6142,Water,Cropland,Wetland,Water,Wetland,Grassland,Water,Grassland
6143,Water,Cropland,Wetland,Water,Wetland,Cropland,Grassland,Bareland
6144,Water,Cropland,Wetland,Water,Wetland,Wetland,Grassland,Forest
6145,Water,Cropland,Wetland,Water,Wetland,Bareland,NULL,Grassland
6146,Water,Cropland,Wetland,Water,Wetland,Bareland,Grassland,Grassland
6147,Water,Cropland,Wetland,Water,Wetland,Water,Grassland,Grassland
6148,Water,Cropland,Wetland,Water,Wetland,Water,Grassland,Forest
6149,Water,Cropland,Wetland,Water,Wetland,Water,Water,Water
6150,Water,Cropland,Wetland,Water,Wetland,Water,Water,Forest
6151,Water,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
6152,Water,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Bareland
6153,Water,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Water
6154,Water,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
6155,Water,Cropland,Bareland,NULL,Non_Wetland,Grassland,Water,Grassland
6156,Water,Cropland,Bareland,NULL,Non_Wetland,Cropland,Grassland,Grassland
6157,Water,Cropland,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
6158,Water,Cropland,Bareland,NULL,Non_Wetland,Bareland,NULL,Grassland
6159,Water,Cropland,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
6160,Water,Cropland,Bareland,NULL,Non_Wetland,Bareland,Grassland,Bareland
6161,Water,Cropland,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
6162,Water,Cropland,Bareland,NULL,Non_Wetland,Bareland,Water,Forest
6163,Water,Cropland,Bareland,NULL,Non_Wetland,Water,Grassland,Grassland
6164,Water,Cropland,Bareland,NULL,Non_Wetland,Water,Grassland,Bareland
6165,Water,Cropland,Bareland,NULL,Non_Wetland,Water,Water,Bareland
6166,Water,Cropland,Bareland,NULL,Non_Wetland,Water,Forest,Forest
6167,Water,Cropland,Bareland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
6168,Water,Cropland,Bareland,Water,Non_Wetland,Water,Grassland,Bareland
6169,Water,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
6170,Water,Cropland,Water,NULL,Water,Wetland,Grassland,Forest
6171,Water,Cropland,Water,NULL,Water,Bareland,Grassland,Grassland
6172,Water,Cropland,Water,NULL,Water,Bareland,Grassland,Bareland
6173,Water,Cropland,Water,NULL,Water,Bareland,Grassland,Water
6174,Water,Cropland,Water,NULL,Water,Bareland,Water,Grassland
6175,Water,Cropland,Water,NULL,Water,Water,Grassland,Forest
6176,Water,Cropland,Water,NULL,Water,Water,Water,Water
6177,Water,Cropland,Water,Non_Water,Water,Bareland,Grassland,Grassland
6178,Water,Cropland,Water,Non_Water,Water,Bareland,Grassland,Bareland
6179,Water,Cropland,Water,Non_Water,Water,Bareland,Grassland,Forest
6180,Water,Cropland,Water,Water,Water,Grassland,Grassland,Grassland
6181,Water,Cropland,Water,Water,Water,Grassland,Water,Grassland
6182,Water,Cropland,Water,Water,Water,Bareland,Grassland,Grassland
6183,Water,Cropland,Water,Water,Water,Water,Grassland,Grassland
6184,Water,Cropland,Water,Water,Water,Water,Grassland,Water
6185,Water,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
6186,Water,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
6187,Water,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
6188,Water,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
6189,Water,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
6190,Water,Cropland,Forest,NULL,Non_Wetland,Bareland,Water,Forest
6191,Water,Cropland,Forest,NULL,Non_Wetland,Water,NULL,Grassland
6192,Water,Cropland,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
6193,Water,Cropland,Forest,NULL,Non_Wetland,Water,Grassland,Forest
6194,Water,Cropland,Forest,NULL,Non_Wetland,Water,Wetland,Water
6195,Water,Wetland,NULL,NULL,Non_Wetland,Water,Grassland,Forest
6196,Water,Wetland,NULL,NULL,Non_Wetland,Water,Water,Wetland
6197,Water,Wetland,NULL,NULL,Non_Wetland,Water,Water,Water
6198,Water,Wetland,NULL,NULL,Non_Wetland,Water,Water,Forest
6199,Water,Wetland,NULL,NULL,Non_Wetland,Water,Forest,Forest
6200,Water,Wetland,NULL,Water,Non_Wetland,Water,Water,Water
6201,Water,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
6202,Water,Wetland,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
6203,Water,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
6204,Water,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
6205,Water,Wetland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
6206,Water,Wetland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
6207,Water,Wetland,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
6208,Water,Wetland,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
6209,Water,Wetland,Grassland,NULL,Non_Wetland,Water,Water,Wetland
6210,Water,Wetland,Grassland,NULL,Non_Wetland,Water,Water,Forest
6211,Water,Wetland,Grassland,NULL,Non_Wetland,Water,Forest,Forest
6212,Water,Wetland,Wetland,NULL,Wetland,NULL,Grassland,Grassland
6213,Water,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Grassland
6214,Water,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
6215,Water,Wetland,Wetland,NULL,Wetland,NULL,Water,Wetland
6216,Water,Wetland,Wetland,NULL,Wetland,NULL,Water,Forest
6217,Water,Wetland,Wetland,NULL,Wetland,NULL,Forest,Forest
6218,Water,Wetland,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
6219,Water,Wetland,Wetland,NULL,Wetland,Bareland,Grassland,NULL
6220,Water,Wetland,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
6221,Water,Wetland,Wetland,NULL,Wetland,Bareland,Grassland,Bareland
6222,Water,Wetland,Wetland,NULL,Wetland,Bareland,Grassland,Forest
6223,Water,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,NULL
6224,Water,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
6225,Water,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,Forest
6226,Water,Wetland,Wetland,NULL,Wetland,Bareland,Water,Grassland
6227,Water,Wetland,Wetland,NULL,Wetland,Bareland,Water,Forest
6228,Water,Wetland,Wetland,NULL,Wetland,Bareland,Forest,NULL
6229,Water,Wetland,Wetland,NULL,Wetland,Bareland,Forest,Grassland
6230,Water,Wetland,Wetland,NULL,Wetland,Bareland,Forest,Forest
6231,Water,Wetland,Wetland,NULL,Wetland,Water,Grassland,Bareland
6232,Water,Wetland,Wetland,NULL,Wetland,Water,Grassland,Forest
6233,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
6234,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Wetland
6235,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Water
6236,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
6237,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Grassland
6238,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Wetland
6239,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Bareland
6240,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Water
6241,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
6242,Water,Wetland,Wetland,NULL,Wetland,Water,Forest,Grassland
6243,Water,Wetland,Wetland,NULL,Wetland,Water,Forest,Wetland
6244,Water,Wetland,Wetland,NULL,Wetland,Water,Forest,Water
6245,Water,Wetland,Wetland,NULL,Wetland,Water,Forest,Forest
6246,Water,Wetland,Wetland,NULL,Wetland,Forest,Wetland,Forest
6247,Water,Wetland,Wetland,NULL,Wetland,Forest,Forest,Forest
6248,Water,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Water
6249,Water,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Forest
6250,Water,Wetland,Wetland,Non_Water,Wetland,Water,Water,Grassland
6251,Water,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
6252,Water,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
6253,Water,Wetland,Wetland,Non_Water,Wetland,Water,Forest,Forest
6254,Water,Wetland,Wetland,Non_Water,Wetland,Forest,Forest,Forest
6255,Water,Wetland,Wetland,Water,Wetland,Grassland,Water,Grassland
6256,Water,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
6257,Water,Wetland,Wetland,Water,Wetland,Water,Water,Water
6258,Water,Wetland,Wetland,Water,Wetland,Water,Water,Forest
6259,Water,Wetland,Bareland,NULL,Non_Wetland,NULL,Grassland,Grassland
6260,Water,Wetland,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
6261,Water,Wetland,Bareland,NULL,Non_Wetland,NULL,Forest,Water
6262,Water,Wetland,Bareland,NULL,Non_Wetland,NULL,Forest,Forest
6263,Water,Wetland,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
6264,Water,Wetland,Bareland,NULL,Non_Wetland,Water,Grassland,Forest
6265,Water,Wetland,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
6266,Water,Wetland,Bareland,NULL,Non_Wetland,Water,Water,Wetland
6267,Water,Wetland,Bareland,NULL,Non_Wetland,Water,Water,Water
6268,Water,Wetland,Bareland,NULL,Non_Wetland,Water,Water,Forest
6269,Water,Wetland,Bareland,NULL,Non_Wetland,Water,Forest,Wetland
6270,Water,Wetland,Bareland,NULL,Non_Wetland,Water,Forest,Water
6271,Water,Wetland,Bareland,NULL,Non_Wetland,Water,Forest,Forest
6272,Water,Wetland,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
6273,Water,Wetland,Bareland,Non_Water,Non_Wetland,Water,Water,Water
6274,Water,Wetland,Bareland,Water,Non_Wetland,Water,Water,Wetland
6275,Water,Wetland,Bareland,Water,Non_Wetland,Water,Water,Water
6276,Water,Wetland,Water,NULL,Water,Water,Water,Wetland
6277,Water,Wetland,Water,NULL,Water,Water,Water,Water
6278,Water,Wetland,Water,NULL,Water,Water,Water,Forest
6279,Water,Wetland,Water,NULL,Water,Water,Forest,Forest
6280,Water,Wetland,Water,Non_Water,Water,Grassland,Grassland,Grassland
6281,Water,Wetland,Water,Non_Water,Water,Grassland,Water,Grassland
6282,Water,Wetland,Water,Non_Water,Water,Wetland,Wetland,Forest
6283,Water,Wetland,Water,Non_Water,Water,Water,Water,Forest
6284,Water,Wetland,Water,Water,Water,Water,Water,Grassland
6285,Water,Wetland,Water,Water,Water,Water,Water,Wetland
6286,Water,Wetland,Water,Water,Water,Water,Water,Water
6287,Water,Wetland,Water,Water,Water,Water,Water,Forest
6288,Water,Wetland,Water,Water,Water,Forest,Wetland,Forest
6289,Water,Wetland,Water,Water,Water,Forest,Water,Forest
6290,Water,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
6291,Water,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
6292,Water,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
6293,Water,Wetland,Forest,NULL,Non_Wetland,NULL,Forest,Forest
6294,Water,Wetland,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
6295,Water,Wetland,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
6296,Water,Wetland,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
6297,Water,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Water
6298,Water,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Forest
6299,Water,Wetland,Forest,NULL,Non_Wetland,Water,Water,Wetland
6300,Water,Wetland,Forest,NULL,Non_Wetland,Water,Water,Water
6301,Water,Wetland,Forest,NULL,Non_Wetland,Water,Water,Forest
6302,Water,Wetland,Forest,NULL,Non_Wetland,Water,Forest,Grassland
6303,Water,Wetland,Forest,NULL,Non_Wetland,Water,Forest,Water
6304,Water,Wetland,Forest,NULL,Non_Wetland,Water,Forest,Forest
6305,Water,Wetland,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
6306,Water,Wetland,Forest,NULL,Non_Wetland,Forest,Water,Forest
6307,Water,Wetland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
6308,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
6309,Water,Wetland,Forest,Non_Water,Non_Wetland,Water,Water,Grassland
6310,Water,Wetland,Forest,Non_Water,Non_Wetland,Water,Forest,Forest
6311,Water,Bareland,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
6312,Water,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
6313,Water,Bareland,Grassland,NULL,Non_Wetland,Cropland,Water,Grassland
6314,Water,Bareland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
6315,Water,Bareland,Grassland,NULL,Non_Wetland,Water,Grassland,Water
6316,Water,Bareland,Wetland,Water,Wetland,Water,Grassland,Bareland
6317,Water,Bareland,Bareland,NULL,Non_Wetland,Grassland,Water,Grassland
6318,Water,Bareland,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
6319,Water,Bareland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
6320,Water,Bareland,Water,NULL,Water,Water,Water,Water
6321,Water,Bareland,Water,Water,Water,Bareland,NULL,Bareland
6322,Water,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
6323,Water,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
6324,Water,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
6325,Water,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
6326,Water,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
6327,Water,Built-up,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
6328,Water,Built-up,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
6329,Water,Built-up,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
6330,Water,Built-up,Wetland,NULL,Wetland,Bareland,Forest,Forest
6331,Water,Built-up,Wetland,NULL,Wetland,Water,Grassland,Grassland
6332,Water,Built-up,Bareland,NULL,Non_Wetland,Water,Forest,Forest
6333,Water,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
6334,Water,Water,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
6335,Water,Water,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
6336,Water,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
6337,Water,Water,NULL,NULL,Non_Wetland,NULL,Water,Forest
6338,Water,Water,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
6339,Water,Water,NULL,NULL,Non_Wetland,NULL,Forest,Water
6340,Water,Water,NULL,NULL,Non_Wetland,NULL,Forest,Forest
6341,Water,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
6342,Water,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
6343,Water,Water,NULL,NULL,Non_Wetland,Grassland,Water,Forest
6344,Water,Water,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
6345,Water,Water,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
6346,Water,Water,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
6347,Water,Water,NULL,NULL,Non_Wetland,Cropland,Water,Grassland
6348,Water,Water,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
6349,Water,Water,NULL,NULL,Non_Wetland,Wetland,Water,Water
6350,Water,Water,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
6351,Water,Water,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
6352,Water,Water,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
6353,Water,Water,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
6354,Water,Water,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
6355,Water,Water,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
6356,Water,Water,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
6357,Water,Water,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
6358,Water,Water,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
6359,Water,Water,NULL,NULL,Non_Wetland,Bareland,Water,Water
6360,Water,Water,NULL,NULL,Non_Wetland,Bareland,Water,Forest
6361,Water,Water,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
6362,Water,Water,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
6363,Water,Water,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
6364,Water,Water,NULL,NULL,Non_Wetland,Water,NULL,Grassland
6365,Water,Water,NULL,NULL,Non_Wetland,Water,NULL,Bareland
6366,Water,Water,NULL,NULL,Non_Wetland,Water,NULL,Water
6367,Water,Water,NULL,NULL,Non_Wetland,Water,NULL,Forest
6368,Water,Water,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
6369,Water,Water,NULL,NULL,Non_Wetland,Water,Grassland,Water
6370,Water,Water,NULL,NULL,Non_Wetland,Water,Grassland,Forest
6371,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
6372,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
6373,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Grassland
6374,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Wetland
6375,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Bareland
6376,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
6377,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
6378,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Grassland
6379,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Wetland
