Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MVD_M_R
131,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest
132,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
133,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
134,Grassland,Water,Wetland,Non_Water,Wetland,Water
135,Grassland,Water,Wetland,Water,Wetland,Water
136,Grassland,Water,Water,Water,Water,Water
137,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
138,Grassland,Water,Forest,NULL,Non_Wetland,Forest
139,Grassland,Water,Forest,Non_Water,Non_Wetland,Grassland
140,Grassland,Water,Forest,Water,Non_Wetland,Grassland
141,Grassland,Forest,NULL,Non_Water,Non_Wetland,Grassland
142,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
143,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
144,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
145,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
146,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
147,Grassland,Forest,Wetland,NULL,Wetland,NULL
148,Grassland,Forest,Wetland,NULL,Wetland,Grassland
149,Grassland,Forest,Wetland,NULL,Wetland,Forest
150,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland
151,Grassland,Forest,Wetland,Non_Water,Wetland,Forest
152,Grassland,Forest,Wetland,Water,Wetland,Water
153,Grassland,Forest,Water,NULL,Water,Grassland
154,Grassland,Forest,Water,Non_Water,Water,Grassland
155,Grassland,Forest,Water,Water,Water,Water
156,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
157,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
158,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
159,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
160,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
161,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
162,Cropland,NULL,Wetland,Non_Water,Wetland,Water
163,Cropland,NULL,Wetland,Non_Water,Wetland,Forest
164,Cropland,NULL,Wetland,Water,Wetland,Water
165,Cropland,NULL,Bareland,Water,Non_Wetland,Water
166,Cropland,NULL,Water,Water,Water,Water
167,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
168,Cropland,NULL,Forest,Water,Non_Wetland,Water
169,Cropland,Bareland,Wetland,Water,Wetland,Water
170,Cropland,Bareland,Water,Water,Water,Water
171,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
172,Cropland,Water,Wetland,NULL,Wetland,Water
173,Cropland,Water,Wetland,Non_Water,Wetland,Water
174,Cropland,Water,Wetland,Water,Wetland,Water
175,Cropland,Water,Water,Water,Water,Water
176,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
177,Cropland,Forest,Cropland,Water,Non_Wetland,Water
178,Cropland,Forest,Wetland,Non_Water,Wetland,Water
179,Cropland,Forest,Wetland,Water,Wetland,Water
180,Cropland,Forest,Bareland,Non_Water,Non_Wetland,Water
181,Cropland,Forest,Water,Non_Water,Water,Water
182,Cropland,Forest,Water,Water,Water,Water
183,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
184,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
185,Cropland,Forest,Forest,Water,Non_Wetland,Water
186,Wetland,NULL,Wetland,NULL,Wetland,Grassland
187,Wetland,NULL,Wetland,NULL,Wetland,Water
188,Wetland,NULL,Wetland,NULL,Wetland,Forest
189,Wetland,NULL,Wetland,Water,Wetland,Water
190,Wetland,NULL,Water,Water,Water,Water
191,Wetland,NULL,Forest,NULL,Non_Wetland,Water
192,Wetland,Wetland,Wetland,Water,Wetland,Water
193,Wetland,Bareland,Wetland,Water,Wetland,Water
194,Wetland,Water,Wetland,NULL,Wetland,Water
195,Wetland,Water,Wetland,Water,Wetland,Water
