Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KKT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KKT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KKT_M_R
16259,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
16260,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Cropland
16261,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Water
16262,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
16263,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
16264,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
16265,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Cropland
16266,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
16267,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
16268,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
16269,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Cropland
16270,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Wetland
16271,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Water
16272,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
16273,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,NULL
16274,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Grassland
16275,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Bareland
16276,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
16277,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Built-up,Grassland
16278,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Water,Grassland
16279,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Water,Forest
16280,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Forest,NULL
16281,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
16282,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Cropland
16283,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Built-up
16284,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
16285,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
16286,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
16287,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Cropland
16288,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Built-up
16289,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
16290,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
16291,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
16292,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
16293,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
16294,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Water
16295,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
16296,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
16297,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
16298,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
16299,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,NULL
16300,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
16301,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
16302,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,NULL
16303,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Grassland
16304,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Forest
16305,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Water,NULL
16306,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Water,Grassland
16307,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Water,Bareland
16308,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Water,Forest
16309,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
16310,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
16311,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Cropland
16312,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
16313,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
