Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NXE_M_R
336,Cropland,Wetland,Water,Water,Water,NULL,NULL,Grassland
337,Cropland,Wetland,Water,Water,Water,NULL,NULL,Wetland
338,Cropland,Wetland,Water,Water,Water,NULL,NULL,Water
339,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
340,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
341,Cropland,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
342,Cropland,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
343,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
344,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
345,Cropland,Built-up,Water,Water,Water,NULL,NULL,Water
346,Cropland,Built-up,Water,Water,Water,NULL,NULL,Forest
347,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
348,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
