Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KUB_M_R
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
